假名	词性	汉字	含义
もし	副词	もし	如果，假如
じつは	副词	実は	其实，实际上
それほど	副词	それほど	那么
たまに	副词	偶に	偶尔
こんど	副词	今度	下次；这回
いかが	副词	いかが	如何
すっかり	副词	すっかり	完全,彻底
なぜ	副词	なぜ	为什么，为何，何故
もっと	副词	もっと	更，更加，更稍微
やや	副词	稍	稍微，稍稍
どうも	副词	どうも	非常，很
ぴったり	副词	ぴったり	正合适，恰好
まっすぐ	副词	まっすぐ	径直，笔直
できるだけ	副词	出来るだけ	尽可能
どうも	副词	どうも	非常，很
けっして	副词	決して	绝对（不），决（不），断然（不）
キリキリ	副词	キリキリ	刺痛
しょうしょう	副词	少々	稍稍，一点儿
ぜったい	副词	絶対	绝对，一定
うっかり	副词	うっかり	不留神，不注意
かえって	副词	却って	相反，反倒
ていりゅうじょ	副词	停留所	公交车站，车站，公共汽车站
ひとりひとり	副词	ひとりひとり	一个一个…
じゅんに	副词	順に	有秩序地，依次
つねに	副词	常に	总是，常常，时常
やむをえず	副词	止むを得ず	不得已
きゅうていしゃする	副词	急停車	紧急停车
まことに	副词	誠に	实在，真诚
ますます	副词	益々	益发，越发
どんどん	副词	どんどん	连接不断地，接二连三地
わずか	副词	僅か	仅仅
まるで	副词	まるで	好像，就像
じゅうぶん	副词	十分	好好地，充足地
だいぶ	副词	大分	很，颇
たいして	副词	大して	（下接否定）并不那么
ちゃんと	副词	ちゃんと	好好地，的确，完全
なんと	副词	なんと	竟然，多么，怎样
のんびり	副词	のんびり	放松，轻松；悠闲自在，悠然自得
ひく	副词	ひく	撞，轧
やっぱり	副词	やっぱり	やはり的口语形
ひづけ	副词	日付	日期，年月日
かつて	副词	かつて	过去，以前，曾经
どうじに	副词	同時に	同时
ともかく	副词	ともかく	姑且不说，总之
じっくり	副词	じっくり	定定心心地，仔细地
さんざん	副词	散々	狼狈，糟糕透顶
まもなく	副词	間も無く	不久
びっくり	副词	びっくり	吃惊，下一跳
さぞ	副词	さぞ	想必，谅必
ただいま	副词	只今	现在，刚刚，马上
のちほど	副词	後程	回头，过一会儿
これほど	副词	これほど	这种程度
さらに	副词	更に	更加，重新
ひきつづき	副词	引続き	继续，接着
おそらく	副词	恐らく	也许，恐怕
いかに	副词	如何に	如何，怎样
ねんねん	副词	年年	每年，逐年
むしろ	副词	むしろ	不如，与其，宁可，毋宁，莫如
いろいろと	副词	いろいろと	种种，各种各样
こよなく	副词	こよなく	特别，格外
いったん	副词	一旦	一旦，万一
そんがい	副词	損害	损害，损失
せっかく	副词	せっかく	好（不）容易，特意
かなり	副词	かなり	颇，相当
からりと	副词	からりと	完全改变貌
じめじめ	副词	じめじめ	潮湿，阴郁
たんに	副词	単に	仅，只
めったに	副词	滅多に	（下接否定）不常
パッ	副词	パッ	突然动作貌，一闪
ぼそぼそ	副词	ぼそぼそ	叽叽咕咕
がっかり	副词	がっかり	失望
とうとう	副词	とうとう	终于，终究，到底
おおむね	副词	概ね	大概，大致
さっそく	副词	さっそく	立刻，马上，赶紧
たびたび	副词	度々	屡次，再三
じっと	副词	じっと	一动不动
ぱちぱち	副词	ぱちぱち	眨眼貌，爆裂声，拍手声
いっきに	副词	一気に	一下子，一口气
ワーワー	副词	ワーワー	吵杂声
はあはあ	副词	はあはあ	气喘吁吁地
ずきんずきん	副词	ずきんずきん	剧痛
かっかと	副词	かっかと	身体发热
いっぺんに	副词	一遍に	一下子
さあっと	副词	さあっと	物体快速轻松运动时的声音和状态
せいいっぱい	副词	精一杯	竭尽全力
きちんと	副词	きちんと	好好地；正经地
そのうちに	副词	その内に	过一会儿，不久
おもいきって	副词	思いきって	大胆地，断然地
ぐんと	副词	ぐんと	使劲地，一口气地
およそ	副词	凡そ	大约，完全，根本
みずから	副词	自ら	亲自；自己
あいかわらず	副词	相変わらず	照旧，依然
ひいちにちと	副词	日一日と	一天天（地）
どうしても	副词	どうしても	无论如何
ひょっこりと	副词	ひょっこりと	突然出现貌
しきりに	副词	頻りに	频频，再三
すうと	副词	すうと	（与同）轻轻地
ぱくぱく	副词	ぱくぱく	（嘴）一张一合的样子
どうやら	副词	どうやら	好容易才，仿佛
ふと	副词	ふと	忽然，突然
ぱちぱち	副词	ぱちぱち	眨眼貌，爆裂声，拍手声
かがやく	副词	輝く	闪亮，放光，辉耀
そっくり	副词	そっくり	一模一样
もくもくと	副词	もくもくと	不声不响，默默
とつぜん	副词	突然	突然
じゃんじゃん	副词	じゃんじゃん	不停地，一个劲地，（钟等）铛铛（响）
もっとも	副词	最も	最
じつに	副词	実に	实在，的确，确实
どうか	副词	どうか	请
わずか	副词	僅か	仅仅
なんだか	副词	なんだか	总觉得，总有点
どうりで	副词	道理で	怪不得
ちらりと	副词	ちらりと	一晃，一闪，略微
ひそひそ	副词	ひそひそ	偷偷，悄悄
にっこり	副词	にっこり	莞尔，微笑，嫣然一笑
なにも	副词	何も	（不）必…
こぞって	副词	挙って	全都，全部
まさに	副词	まさに	正是，真正是，的确，实在，确实
もじどおり	副词	文字通り	如字面那样，毫不夸张
かさねて	副词	重ねて	再次
さすが	副词	さすが	不愧是，果然
とうぶん	副词	当分	目前，暂时
いよいよ	副词	いよいよ	到底，终于
つぎつぎに	副词	次々に	一个接一个
いささか	副词	聊か	稍微，一点
はくしゅ	副词	拍手	鼓掌，拍手
ほっと	副词	ほっと	放松，放心，松气
マスコミ	副词	マスコミ	宣传媒介
あたり	副词	あたり	平均，每
ちょくせつ	副词	直接	直接
せき	副词	隻	（计算船只的量词）只
びくとも	副词	びくとも	（下接否定）处之坦然
はっと	副词	はっと	吃惊貌
たちまち	副词	たちまち	不大工夫
とっさに	副词	トッサニ	猛然，瞬间
ちらっと	副词	ちらっと	一闪，隐约
ふたたび	副词	再び	再次，再
ついに	副词	終に	终于
いかにも	副词	いかにも	典型的；实在；的确
おなじく	副词	同じく	同样的
いちがいに	副词	一概に	一概，笼统地
どれほど	副词	どれほど	何等地，多么地
けっきょく	副词	結局	结果，最后
ようやく	副词	漸く	好容易，渐渐地
なんとなく	副词	何となく	总觉得，无意中
つい	副词	つい	不知不觉地，无意中
はらはら	副词	はらはら	非常担心的样子
キャーキャー	副词	キャーキャー	（吵闹声）唧唧嘎嘎
きょく	副词	極	极其
パチンパチン	副词	パチンパチン	咔地一声
パチット	副词	パチット	吧嗒一声
とうてい	副词	とうてい	（下接否定）怎么也
ちょろちょろ	副词	ちょろちょろ	（火焰，水流）微小，微弱
まあまあ	副词	まあまあ	大致，还算
いっそ	副词	いっそ	索性，倒不如
トンカラリ	副词	トンカラリ	（老式织布机的织布声）
こっそり	副词	こっそり	偷偷地，悄悄地
そっと	副词	そっと	悄悄地，暗中
ぺたんと	副词	ペタント	扑通坐下，轻轻贴上的样子
なんで	副词	何で	何故，为什么
なにかと	副词	何彼と	各方面
なにとぞ	副词	何卒	请
つつしんで	副词	謹んで	敬，谨
とかく	副词	とかく	往往，总之
ひとえに	副词	偏に	诚心诚意，完全
せつに	副词	切に	恳切地
どうやら	副词	どうやら	好容易才，仿佛
はやはやと	副词	早早	极早地，早早地
ギラギラ	副词	ギラギラ	闪耀，灿烂夺目
とにかく	副词	とにかく	特别是，总之
いらいら	副词	苛々	焦急，焦躁
こんど	副词	今度	下次；这回
いっこう	副词	一向	完全
まさか	副词	まさか	绝没想到，怎能
はるか	副词	遥か	遥远
しみじみ	副词	しみじみ	深切，痛切
うまれながら	副词	生まれながら	天生，生来
はやくも	副词	早くも	过早地，早就，已经
すくすく	副词	すくすく	茁壮成长
どうどうと	副词	堂々と	堂堂
いわば	副词	言わば	可以说，譬如说
ようちえん	副词	幼稚園	幼儿园
おおいに	副词	大いに	（在程度分量等上）很，颇，大大地
いちおう	副词	一応	姑且．暂且．先
ほぼ	副词	ほぼ	大体上，大致
どことなく	副词	何処と無く	总觉得，总好像
さほど	副词	然程	那么，那样
よほど	副词	余程	很，颇，几乎
ひかくてき	副词	比較的	比较的
ことに	副词	殊に	特别
こつこつ	副词	こつこつ	孜孜不倦，勤勉
どうせ	副词	どうせ	总归，反正
すたすた	副词	すたすた	（目不斜视地）急忙，飞快
こわごわ	副词	恐々	战战兢兢
きっと	副词	屹度	神情严峻
ガタガタ	副词	ガタガタ	喀达喀达地响，摇晃，发抖
トントン	副词	トントン	咚咚地轻击声，事情进展顺利
メーメー	副词	メーメー	羊叫声
ワンワン	副词	ワンワン	（狗）汪汪（叫）
ひらひら	副词	ひらひら	轻轻的或薄薄的东西在飘荡，摇晃的样子
ぐるぐる	副词	ぐるぐる	连续不断地转，一层层地绕
ポンポン	副词	ポンポン	（击鼓，放枪等声）嘭，砰，噼啪，直言不讳貌
チョッキン	副词	チョッキン	剪刀剪物声）卡擦卡擦
カーン	副词	カーン	金属碰击声
パラパラ	副词	パラパラ	淅淅沥沥下雨的样子；树叶等飘落的样子；（翻书声）哗啦哗啦
ガヤガヤ	副词	ガヤガヤ	吵嚷，喧闹
パタパタ	副词	パタパタ	（物体连续碰撞声）哗啦哗啦，吧嗒吧嗒
ザーザー	副词	ザーザー	（雨）哗啦哗啦
くねくね	副词	くねくね	弯曲，弯弯曲曲
ザラザラ	副词	ザラザラ	粗糙，不光滑
スペスペ	副词	スペスペ	光滑，溜光
ドンドン	副词	ドンドン	（炮鼓声）咚咚；连续不断，进展顺当
なにゆえ	副词	何故	为何，为什么
ざっと	副词	ざっと	粗略地；一下子，很快；（流水声）哗啦
よくも	副词	よくも	竟敢，竟能
いきいきと	副词	生き生きと	生动活泼，生气勃勃
にっとり	副词	にっとり	微微一笑，嫣然一笑
ひとまず	副词	一先ず	暂且，暂先
いっさい	副词	一切	一概，一切
どっきり	副词	どっきり	很多，好多
まるで	副词	まるで	好像，就像
ニャニャ	副词	ニャニャ	嗤笑，独笑
せっせと	副词	せっせと	拼命地，一个劲儿地
すでに	副词	既に	已经，即将
おのずと	副词	自ずと	自然而然
つぎつぎと	副词	次々と	一个接一个
ひましに	副词	日増しに	日益
そうじて	副词	総じて	总的，一般说来
きわめて	副词	極めて	极其，非常
いずれも	副词	いずれも	全部，不论哪个
ちょくせつ	副词	直接	直接
どうも	副词	どうも	非常，很
たしか	副词	たしか	好像是，大概；的确
まっすぐ	副词	まっすぐ	径直，笔直
さっき	副词	さっき	刚才
たったいま	副词	たった今	刚刚
もういちど	副词	もう一度	再一次
まえに	副词	前に	以前
ほんとうに	副词	本当に	真的，实在是
とても/たいへん	副词	とても/たいへん	很，非常
すこし/ちょっと	副词	少し/ちょっと	一点儿
ちょうど	副词	ちょうど	正好，恰好
いかが	副词	いかが	如何
いろいろ	副词	いろいろ	各种各样
たまに	副词	たまに	偶尔，很少
どうして	副词	どうして	为什么
いちばん	副词	いちばん	最，第一
やはり/やっぱり	副词	やはり/やっぱり	仍然，还是
とりあえず	副词	とりあえず	暂且
なかなか	副词	なかなか	相当，很，非常
あとで	副词	後で	过会儿
じゅうぶん	副词	十分	好好地，充足地
もちろん	副词	もちろん	当然，不用说
ちゃんと	副词	ちゃんと	好好地，的确，完全
